UnitID,Institution Name,Institution (entity) name (HD2020),Institution name alias (HD2020),Street address or post office box (HD2020),City location of institution (HD2020),State abbreviation (HD2020),ZIP code (HD2020),Name of chief administrator (HD2020),Title of chief administrator (HD2020),General information telephone number (HD2020),Institution's internet website address (HD2020),Financial aid office web address (HD2020),Admissions office web address (HD2020),Online application web address (HD2020),Net price calculator web address (HD2020),Veterans and Military Servicemembers tuition policies web address (HD2020),Student-Right-to-Know student athlete graduation rate web address (HD2020),Disability Services Web Address (HD2020),Employer Identification Number (HD2020),Dun and Bradstreet numbers (HD2020),OPE Title IV eligibility indicator code (HD2020),Office of Postsecondary Education (OPE) ID Number (HD2020),Multi-institution or multi-campus organization (HD2020),Identification number of multi-institution or multi-campus organization (HD2020),Name of multi-institution or multi-campus organization (HD2020),Fips County code (HD2020),County name (HD2020),State and 116TH Congressional District ID (HD2020),Core Based Statistical Area (CBSA) (HD2020),CBSA Type Metropolitan or Micropolitan (HD2020),Combined Statistical Area (CSA) (HD2020),New England City and Town Area (NECTA) (HD2020),Longitude location of institution (HD2020),Latitude location of institution (HD2020),Institution open to the general public (HD2020),Status of institution (HD2020),UNITID for merged schools (HD2020),Year institution was deleted from IPEDS (HD2020),Date institution closed (HD2020),Institution is active in current year (HD2020),Primarily postsecondary indicator (HD2020),Postsecondary institution indicator (HD2020),Calendar system (IC2020),Years of college-level work required (IC2020),Natural Disaster identification (FLAGS2020)
172866,Academy College,Academy College, ,1600 W. 82nd Street  Suite 100,Bloomington,MN,55431-1411,Nancy Grazzini-Olson,Chief Executive Officer,9528510066,www.academycollege.edu/,academycollege.edu/financial-aid,academycollege.edu/admissions,academycollege.edu/admissions,https://www.academycollege.edu/wp-content/uploads/2019/03/index-3.html,www.academycollege.edu/admissions/#1495524067378-60827d4a-690fc07c-32cb, ,www.academycollege.edu/financial-aid/disabilities/,410831212,94044195,1,2050300,2,-2,-2,27053,Hennepin County,2703,33460,1,378,-2,-93.299809,44.855722,1,A,-2,-2,-2,1,1,1,2,-2,0
449463,Academy Di Capelli-School of Cosmetology,Academy Di Capelli-School of Cosmetology,Academy Di Capelli,950 Yale Ave Unit 20,Wallingford,CT,6492,Christine Papale,CEO,20329494960,www.academydicapelli.com/,www.academydicapelli.com/financial-options.html,www.academydicapelli.com/,www.academydicapelli.com/application-wallingford.php,www.academydicapelli.com/netPrice/npcalc.htm,www.academydicapelli.com/, ,www.academydicapelli.com/,61646253,129905621,1,4104300,2,-2,-2,9009,New Haven County,903,35300,1,408,75700,-72.806335,41.490402,1,A,-2,-2,-2,1,1,1,6,-2,0
476957,Academy di Firenze,Academy di Firenze, ,149 West Main Street,Jerome,ID,83338-2329,WendyCFlorence,Administrator/Owner,2086441546,www.academydifirenze.com/,www.academydifirenze.com/financial-aid.html,www.academydifirenze.com/enrollment.html,www.academydifirenze.com/images/Documents/Academyenrollmentform2013.pdf,www.academydifirenze.com/NetPriceCalculator/npcalc.htm, , ,academydifirenze.com/,202388398,198416302,1,4207200,2,-2,-2,16053,Jerome County,1602,46300,1,-2,-2,-114.519826,42.723871,1,A,-2,-2,-2,1,1,1,7,-2,0
457989,Academy for Careers and Technology,Academy for Careers and Technology, ,2697 E Hwy 76,Mullins,SC,29574-6009,Darrell Jameson,Director,8434231941,www.mcact.org/, , , ,www.marion.k12.sc.us/Domain/21,www.mcact.org/,www.mcact.org/,www.mcact.org/,570484883, ,1,4083300,2,-2,-2,45067,Marion County,4507,-2,-2,-2,-2,-79.340157,34.186433,1,A,-2,-2,-2,1,1,1,6,-2,0
412173,Academy for Nursing and Health Occupations,Academy for Nursing and Health Occupations,ANHO,5154 Okeechobee Blvd Ste 201,West Palm Beach,FL,33417,Dr. Lois M Gackenheimer  RN,Executive Director / President,5616831400,www.anho.edu/,www.anho.edu/,www.anho.edu/,www.anho.edu/images/2014.06.27/2014 ANHO Application.pdf,www.anho.edu/net price calculator/index.html, , ,www.anho.edu/,592757346,177616497,1,3346300,2,-2,-2,12099,Palm Beach County,1220,33100,1,370,-2,-80.121497,26.70653,1,A,-2,-2,-2,1,1,1,6,-2,0
462062,Academy for Salon Professionals,Academy for Salon Professionals, ,19520 Nordhoff St. Unit 9,Northridge,CA,91324,Jill LMurphy,Manager,8187015799,www.academyla.com/,www.academyla.com/,www.academyla.com/,www.academyla.com/,www.academyla.com/our-programs/financial-aid/, , ,www.academyla.com/wp-content/uploads/AFSP-Catalog.pdf,510640063,5774637,1,4189800,2,-2,-2,6037,Los Angeles County,630,31080,1,348,-2,-118.558215,34.23396,1,A,-2,-2,-2,1,1,1,7,-2,0
108232,Academy of Art University,Academy of Art University, ,79 New Montgomery,San Francisco,CA,94105,Elisa Stephens,President,8005442787,www.academyart.edu/,www.academyart.edu/finances/financial-aid-office,www.academyart.edu/admissions,www.academyart.edu/admissions/apply,https://npc.collegeboard.org/student/app/academyart,www.academyart.edu/military, ,my.academyart.edu/students/my-academy/academy-resource-center/accessibility,941637804,826765604,1,753100,2,-2,-2,6075,San Francisco County,612,41860,1,488,-2,-122.400578,37.787943,1,A,-2,-2,-2,1,1,1,1,-2,0
451097,Academy of Career Training,Academy of Career Training, ,3501 W Vine St Ste 111,Kissimmee,FL,34741,Elizabeth Petrusa,President,4079438777,academyofcareertraining.com/,academyofcareertraining.com/,academyofcareertraining.com/,academyofcareertraining.com/,www.academyofcareertraining.com/financial-aid.html,academyofcareertraining.com/, ,www.academyofcareertraining.com/,593328489,839578127,1,4126900,2,-2,-2,12097,Osceola County,1209,36740,1,422,-2,-81.439569,28.306092,1,A,-2,-2,-2,1,1,1,7,-2,0
237729,Academy of Careers and Technology,Academy of Careers and Technology, ,390 Stanaford Rd,Beckley,WV,25801,Charles Pack,Director/Principal,3.04256E+12,www.wvact.net/, , , ,wvact.net/npcalc/index.html, , ,www.wvact.net/,556000390,100576842,1,1290500,1,154050,Raleigh County Board of Education                                               ,54081,Raleigh County,5403,13220,1,-2,-2,-81.165435,37.795299,1,A,-2,-2,-2,1,1,1,6,-2,0
372462,Academy of Cosmetology,Academy of Cosmetology, ,2088 N. Courtenay Parkway,Merritt Island,FL,32953,Jacquilyn Eusanio,President,3214528490,academyofcosmetology.edu/,academyofcosmetology.edu/,academyofcosmetology.edu/, ,https://academyofcosmetology.edu/net-price-calculator,academyofcosmetology.edu/, ,academyofcosmetology.edu/,581708995,138101118,1,2499000,2,-2,-2,12009,Brevard County,1208,37340,1,-2,-2,-80.70372,28.394053,1,A,-2,-2,-2,1,1,1,7,-2,0
457855,Academy of Cosmetology and Esthetics NYC,Academy of Cosmetology and Esthetics NYC, ,187 New Dorp Ln,Staten Island,NY,10306,Anne Bennett/Frank Bennett,Owners/IPEDS Contact,7189799001,www.theacademynyc.com/,www.theacademynyc.com/,www.theacademynyc.com/,www.theacademynyc.com/,https://paulmitchell.edu/statenisland/programs/cosmetology, , ,https://paulmitchell.edu/statenisland/info/links,202216250,831658427,1,4156000,1,303620,Paul Mitchell The School                                                        ,36085,Richmond County,3611,35620,1,408,-2,-74.114517,40.573227,1,A,-2,-2,-2,1,1,1,7,-2,0
179991,Academy of Cosmetology Inc,Academy of Cosmetology Inc, ,133 W Mendenhall,Bozeman,MT,59715-3544,Charity McCullough,Administration,4065871264,www.academycosmetology.com/,www.academycosmetology.com/,www.academycosmetology.com/, ,www.academycosmetology.com/admissions, , ,www.academycosmetology.com/,810537860,144172921,1,2621300,2,-2,-2,30031,Gallatin County,3000,14580,2,-2,-2,-111.039848,45.680544,1,A,-2,-2,-2,1,1,1,7,-2,0
454722,Academy of Esthetics and Cosmetology,Academy of Esthetics and Cosmetology, ,1242 San Fernando Rd,San Fernando,CA,91340-3212,Luz Avina,School Administrator,8183615501,www.aecosmetology.com/,www.aecosmetology.com/,www.aecosmetology.com/,www.aecosmetology.com/,www.aecosmetology.com/net-calculator, , ,www.aecosmetology.com/,203169442,163229540,1,4132400,2,-2,-2,6037,Los Angeles County,629,31080,1,348,-2,-118.444228,34.285043,1,A,-2,-2,-2,1,1,1,7,-2,0
175722,Academy of Hair Design-Grenada,Academy of Hair Design-Grenada, ,1301 Sunset Dr #JK,Grenada,MS,38901,Andrea  Butler,Administrative Asst.,6013729800,www.academyofhair.com/grenada-campus,academyofhair.com/enrollment/, , ,academyofhair.com/NetPriceCalculator/npcalc.htm, , ,www.academyofhair.com/,640635739,78674985,1,2244305,1,300100,Academy of Hair Design Inc.                                                     ,28043,Grenada County,2802,24980,2,-2,-2,-89.825313,33.775198,1,A,-2,-2,-2,1,1,1,7,-2,0
374316,Academy of Hair Design-Jackson,Academy of Hair Design-Jackson, ,5420 I-55 Frontage Rd N,Jackson,MS,39211,Andrea  Butler,Administrative Asst.,6013729800,www.academyofhair.com/, , , ,https://academyofhair.com/NetPriceCalculator/npcalc.htm, , ,www.academyofhair.com/,640635739,70774187,1,2244300,1,300100,Academy of Hair Design Inc.                                                     ,28049,Hinds County,2803,27140,1,298,-2,-90.147044,32.376376,1,A,-2,-2,-2,1,1,1,7,-2,0
447449,Academy of Hair Design-Jasper,Academy of Hair Design-Jasper, ,348 Spring Hill St,Jasper,TX,75951,Minnie Richey,Terri Parker,4093848200,lufkinhairdesign.com/,www.lufkinhairdesign.com/,www.lufkinhairdesign.com/,www.lufkinhairdesign.com/,www.lufkinhairdesign.com/,lufkinhairdesign.com/,lufkinhairdesign.com/,lufkinhairdesign.com/,760483939,785209974,1,3276301,1,300100,Academy of Hair Design Inc.                                                     ,48241,Jasper County,4836,-2,-2,-2,-2,-94.004879,30.908648,1,A,-2,-2,-2,1,1,1,7,-2,0
181880,Academy of Hair Design-Las Vegas,Academy of Hair Design-Las Vegas, ,5191 W. Charleston  #150,Las Vegas,NV,89146,Sandy Dunham,Director,7.02878E+11,www.ahdvegas.com/,www.ahdvegas.com/financial-aid.php,www.ahdvegas.com/,www.ahdvegas.com/,www.ahdvegas.com/npcalc/npcalc.htm, , ,www.ahdvegas.com/,880137279,95143251,1,1323200,2,-2,-2,32003,Clark County,3201,29820,1,332,-2,-115.210473,36.15846,1,A,-2,-2,-2,1,1,1,7,-2,0
434274,Academy of Hair Design-Lufkin,Academy of Hair Design-Lufkin, ,512 S Chestnut,Lufkin,TX,75904,Carroll W Lewing,President,9366348440,lufkinhairdesign.com/,www.lufkinhairdesign.com/,www.lufkinhairdesign.com/,www.lufkinhairdesign.com/,www.lufkinhairdesign.com/,www.lufkinhairdesign.com/,lufkinhairdesign.com/,lufkinhairdesign.com/,760483939,785209974,1,3276300,1,300100,Academy of Hair Design Inc.                                                     ,48005,Angelina County,4801,31260,2,-2,-2,-94.718704,31.330724,1,A,-2,-2,-2,1,1,1,7,-2,0
455929,Academy of Hair Design-Oklahoma City,Academy of Hair Design-Oklahoma City, ,2501 W Memorial Rd Suite 229,Oklahoma City,OK,73134-8055,JeanAnn Duncan,Administrative Director / Owner,4058422031,www.academyofhairdesignok.com/,www.academyofhairdesignok.com/,www.academyofhairdesignok.com/, ,www.academyofhairdesignok.com/,www.academyofhairdesignok.com/, ,www.academyofhairdesignok.com/,201942367,827168738,1,4144400,2,-2,-2,40109,Oklahoma County,4005,36420,1,416,-2,-97.557189,35.612955,1,A,-2,-2,-2,1,1,1,7,-2,0
382461,Academy of Hair Design-Pearl,Academy of Hair Design-Pearl, ,3167 Hwy 80 E,Pearl,MS,39208,Andrea Butler,Asst Executive Director,6013729800,www.academyofhair.com/, , , ,https://academyofhair.com/NetPriceCalculator/npcalc.htm, , ,www.academyofhair.com/,721165342,145378139,1,2235900,1,300100,Academy of Hair Design Inc.                                                     ,28121,Rankin County,2803,27140,1,298,-2,-90.115129,32.281983,1,A,-2,-2,-2,1,1,1,7,-2,0
451334,Academy of Hair Design-Springfield,Academy of Hair Design-Springfield, ,1834 S Glenstone,Springfield,MO,65804,Linda Daugherty,Superintendent,4.17881E+12,aohd.com/,www.aohd.com/springfield/get-started/financial-aid/,www.aohd.com/springfield/get-started/programs/,www.aohd.com/springfield/get-started/apply/,www.aohd.com/springfield/net-price-calculator/,www.aohd.com/springfield/get-started/financial-aid/, ,www.aohd.com/wp-content/uploads/2017/11/consumer-information-missouri.pdf,431763778,4503517,1,4037500,2,-2,-2,29077,Greene County,2907,44180,1,-2,-2,-93.261354,37.180584,1,A,-2,-2,-2,1,1,1,7,-2,0
376446,Academy of Hair Technology,Academy of Hair Technology, ,3715 E North St Ste F,Greenville,SC,29615-2363,James W King Jr,President,8643220300,www.hairchamps.com/,www.hairchamps.com/,www.hairchamps.com/, ,www.hairchamps.com/,www.hairchamps.com/information-navigator, ,www.hairchamps.com/information-navigator,471510230,615453479,1,2552400,2,-2,-2,45045,Greenville County,4504,24860,1,273,-2,-82.327426,34.874681,1,A,-2,-2,-2,1,1,1,7,-2,0
482185,Academy of Interactive Entertainment,Academy of Interactive Entertainment,AIE,305 Harrison St Ste 405,Seattle,WA,98109-4623,Victoria De Margheriti,CEO,2064286350,https://www.aie.edu/,https://aie.edu/studentinformation/finaid/,https://aie.edu/StudentInformation/apply/,https://aie.edu/StudentInformation/apply/,https://aie.edu/net-price-calculator/, , ,https://aie.edu/about-aie/nondiscrimination/,273792158,78448006,1,4223600,2,-2,-2,53033,King County,5307,42660,1,500,-2,-122.351158,47.621224,1,A,-2,-2,-2,1,1,1,1,-2,0
487658,Academy of Interactive Entertainment,Academy of Interactive Entertainment,AIE,537 Cajundome Boulevard #211,Lafayette,LA,70506-4293,Robin L. Couvillon,Head of School,3372056604,www.lafayette.aie.edu/,lafayette.aie.edu/student-information/finaid,lafayette.aie.edu/apply,lafayette.aie.edu/apply,lafayette.aie.edu/student-information/finaid/, , ,lafayette.aie.edu/?s=Nondiscrimination,272990527,36677553,1,4248400,2,-2,-2,22055,Lafayette Parish,2203,29180,1,318,-2,-92.043315,30.220037,1,A,-2,-2,-2,1,1,1,1,-2,0
486619,Academy of Professional Cosmetology,Academy of Professional Cosmetology, ,2600 West Hudson Road Suite A,Rogers,AR,72756-2028,Roger Barnes,Administrator,4792460046,www.apcschools.com/,www.apcschools.com/financial-aid/,www.apcschools.com/enrollment/, ,apcschools.com/price-calculator/,apcschools.com/enrollment/, ,www.apcschools.com/student-resources/,273758938,54771718,1,4241800,2,-2,-2,5007,Benton County,503,22220,1,-2,-2,-94.157411,36.35541,1,A,-2,-2,-2,1,1,1,7,-2,0
107293,Academy of Salon and Spa,Academy of Salon and Spa,Academy of Salon & Spa,311 S 16th St,Fort Smith,AR,72901,Alan Anderson,Vice President,4797825059,www.academysalonspa.com/,www.academysalonspa.com/courses/financial-aid/,www.academysalonspa.com/courses/enrollment/,www.academysalonspa.com/contact-us/contact-admissions/,www.academysalonspa.com/,www.academysalonspa.com/,www.academysalonspa.com/,www.academysalonspa.com/,710416504,10322485,1,1074100,2,-2,-2,5131,Sebastian County,503,22900,1,-2,-2,-94.41616,35.38097,1,A,-2,-2,-2,1,1,1,7,-2,0
480879,Academy of Salon Professionals,Academy of Salon Professionals,Academy of Salon Professionals  LLC,2414 S. Limit Ave,Sedalia,MO,65301,Stephanie Aker,Director,6608274500,www.academyofsalonprofessionals.com/,www.academyofsalonprofessionals.com/, , ,www.academyofsalonprofessionals.com/net-price-calculator/, , ,www.academyofsalonprofessionals.com/,264574187,17973981,1,4212100,2,-2,-2,29159,Pettis County,2904,42740,2,-2,-2,-93.251559,38.690729,1,A,-2,-2,-2,1,1,1,7,-2,0
461342,Acaydia School of Aesthetics,Acaydia School of Aesthetics, ,86 North University Avenue  Suite 130,Provo,UT,84601-0000,Andrea Hulse,President/Chancellor/CEO,80137700253,www.acaydia.com/, , , ,https://acaydia.edu/html/npcalc.htm,https://www.acaydia.edu/, ,https://www.acaydia.edu/,870771149,796507254,1,4165500,2,-2,-2,49049,Utah County,4903,39340,1,482,-2,-111.65823,40.234627,1,A,-2,-2,-2,1,1,1,7,-2,0
483708,Access Careers,Access Careers, ,474 Fulton Avenue  Suite 201,Hempstead,NY,11550-0000,Hardeep Sawhney,CEO/President,5164330034,www.accesscareers.net/, , , ,accesscareers.net/net-price-calculator/,www.accesscareers.net/, ,www.accesscareers.net/,113311325,61789652,1,4213400,2,-2,-2,36059,Nassau County,3604,35620,1,408,-2,-73.61531,40.709502,1,A,-2,-2,-2,1,1,1,6,-2,0
494904,Access Careers-Islandia,Access Careers-Islandia, ,1930 Veterans Highway  Suite 10,Islandia,NY,11749-1599,Mini Sawhney,Director,6316309410,www.accesscareers.net/,www.accesscareers.net/,www.accesscareers.net/, ,https://accesscareers.net/net-price-calculator/,www.accesscareers.net/,www.accesscareers.net/,www.accesscareers.net/school-catalog,113311325,61789652,1,4213401,2,-2,-2,36103,Suffolk County,3602,35620,1,408,-2,-73.175617,40.800874,1,A,-2,-2,-2,1,1,1,7,-2,0
480736,Ace Cosmetology and Barber Training Center,Ace Cosmetology and Barber Training Center,Ace Cosmetology/Barber Training Center,625 Wolcott Street  Suite 7,Waterbury,CT,6705,Gary Olmstead,President,2038799989,acetrainingcenters.com/,https://acetrainingcenters.com/financial-aid,https://acetrainingcenters.com/,https://acetrainingcenters.com/contact-us,cetrainingcenters.com/gainful-employment, , ,acetrainingcenters.com/,264144199,78648825,1,4219200,2,-2,-2,9009,New Haven County,905,35300,1,408,78700,-72.987416,41.593956,1,A,-2,-2,-2,1,1,1,7,-2,0
449676,Ace Institute of Technology,Ace Institute of Technology, ,312 West 36 Street  2nd Floor,New York,NY,10018,Amit Shorewala,President,2126959700,www.acecareer.edu/,www.acecareer.edu/financial-aid,www.acecareer.edu/,www.acecareer.edu/contact-us,www.acecareer.edu/NetPriceCalculator/npcalc.htm, , ,www.acecareer.edu/,113458486,16858191,1,4043300,2,-2,-2,36061,New York County,3610,35620,1,408,-2,-73.993385,40.753658,1,A,-2,-2,-2,1,1,1,7,-2,0
439969,Acupuncture and Massage College,Acupuncture and Massage College, ,10506 N Kendall Drive,Miami,FL,33176,Christy Wood,Campus President,3055959500,www.amcollege.edu/,www.amcollege.edu/financial-aid-acupuncture-massage-school/,www.amcollege.edu/admissions, ,www.amcollege.edu/?s=net+price, , ,www.amcollege.edu/hubfs/2017-2018 Disclosure Changes /Student Handbook 2017-2018.pdf?t=1510752226257,471820894, ,1,3414500,2,-2,-2,12086,Miami-Dade County,1227,33100,1,370,-2,-80.364141,25.686382,1,A,-2,-2,-2,1,1,1,3,2,0
126182,Adams State University,Adams State University, ,208 Edgemont Blvd,Alamosa,CO,81101,Dr. Cheryl Lovell,President,7195877011,www.adams.edu/,www.adams.edu/finaid,www.adams.edu/admissions/,https://www.adams.edu/admissions/apply-online/,https://www.adams.edu/netpricecalculator/,https://www.adams.edu/students/veterans-affairs/,https://web3.ncaa.org/aprsearch/asrsearch,https://www.adams.edu/accessibility/ada/,846000542,40705899,1,134500,2,-2,-2,8003,Alamosa County,803,-2,-2,-2,-2,-105.879642,37.473636,1,A,-2,-2,-2,1,1,1,1,-2,0
188429,Adelphi University,Adelphi University, ,South Ave,Garden City,NY,11530-0701,Christine M. Riordan,President,5168773000,www.adelphi.edu/,ecampus.adelphi.edu/sfs/,admissions.adelphi.edu/,admissions.adelphi.edu/onlineapp.php,https://financial-aid.adelphi.edu/net-price-calculator/,admissions.adelphi.edu/military/,aupanthers.com/sports/2011/8/9/GEN_0809113017.aspx,access-office.adelphi.edu/,111630741,65972838,1,266600,2,-2,-2,36059,Nassau County,3604,35620,1,408,-2,-73.653321,40.721439,1,A,-2,-2,-2,1,1,1,1,-2,0
168528,Adrian College,Adrian College, ,110 S Madison St,Adrian,MI,49221-2575,Jeffrey R Docking,President,5172655161,www.adrian.edu/,adrian.edu/admissions/financial-aid/,adrian.edu/admissions/,apply.adrian.edu/,adrian.edu/admissions/financial-aid/financial-aid-calculator/,adrian.edu/admissions/financial-aid/va-benefits/, ,adrian.edu/academics/academic-services/access-program/,381357980,51625622,1,223400,2,-2,-2,26091,Lenawee County,2607,10300,2,220,-2,-84.061481,41.898591,1,A,-2,-2,-2,1,1,1,1,-2,0
