LDNS,Hostname,ADNS_RTT,LDNS_RTT
64.233.217.3,youtube.com,62.0,67.0
64.233.207.2,facebook.com,41.0,41.0
64.233.217.3,github.com,49.0,42.0
212.230.255.129,zoom.us,164.0,193.0
212.230.255.1,canva.com,192.0,165.0
64.233.207.16,slack.com,41.0,38.0
64.233.217.2,google.com,63.0,42.0
64.233.217.3,google.com,68.0,43.0
64.233.207.2,facebook.com,40.0,41.0
71.10.216.1,microsoft.com,62.0,46.0
209.18.47.62,google.com,39.0,35.0
212.230.255.129,slack.com,114.0,108.0
64.233.217.3,github.com,51.0,44.0
64.233.217.2,slack.com,52.0,44.0
64.233.217.3,google.com,76.0,52.0
84.236.142.130,microsoft.com,258.0,162.0
64.233.207.2,microsoft.com,41.0,40.0
212.230.255.129,github.com,124.0,163.0
64.233.217.2,facebook.com,52.0,39.0
212.230.255.1,facebook.com,203.0,161.0
212.230.255.129,slack.com,185.0,109.0
84.236.142.130,zoom.us,,241.0
71.10.216.2,google.com,43.0,33.0
71.10.216.1,facebook.com,82.0,47.0
212.230.255.129,google.com,219.0,164.0
64.233.207.2,youtube.com,48.0,38.0
64.233.207.2,github.com,48.0,40.0
64.233.207.16,google.com,59.0,38.0
209.18.47.61,facebook.com,202.0,63.0
212.230.255.1,canva.com,111.0,105.0
212.230.255.1,facebook.com,183.0,108.0
64.233.217.2,zoom.us,62.0,64.0
209.18.47.61,microsoft.com,84.0,63.0
212.230.255.129,slack.com,187.0,163.0
71.10.216.1,github.com,88.0,44.0
71.10.216.2,facebook.com,78.0,33.0
84.236.142.130,zoom.us,606.0,
64.233.217.2,facebook.com,68.0,42.0
209.18.47.61,facebook.com,88.0,62.0
64.233.207.2,canva.com,48.0,39.0
209.18.47.61,youtube.com,189.0,65.0
209.18.47.62,facebook.com,89.0,31.0
212.230.255.1,facebook.com,202.0,164.0
209.18.47.61,youtube.com,165.0,62.0
84.236.142.130,github.com,,187.0
212.230.255.129,microsoft.com,159.0,163.0
84.236.142.130,google.com,323.0,398.0
84.236.142.130,google.com,263.0,393.0
209.18.47.61,zoom.us,181.0,74.0
209.18.47.62,youtube.com,39.0,31.0
84.236.142.130,slack.com,240.0,264.0
71.10.216.1,facebook.com,55.0,47.0
64.233.217.3,slack.com,51.0,43.0
209.18.47.61,microsoft.com,78.0,63.0
64.233.217.2,microsoft.com,49.0,45.0
64.233.207.16,microsoft.com,40.0,40.0
64.233.217.2,slack.com,52.0,42.0
209.18.47.61,slack.com,187.0,61.0
71.10.216.1,github.com,58.0,60.0
64.233.217.2,github.com,51.0,42.0
84.236.142.130,github.com,,200.0
64.233.217.2,google.com,63.0,41.0
212.230.255.1,microsoft.com,112.0,137.0
71.10.216.1,facebook.com,63.0,46.0
71.10.216.1,canva.com,49.0,47.0
212.230.255.1,microsoft.com,143.0,107.0
64.233.207.2,google.com,49.0,38.0
209.18.47.61,canva.com,65.0,61.0
84.236.142.130,canva.com,,
84.236.142.130,slack.com,299.0,204.0
84.236.142.130,facebook.com,287.0,370.0
84.236.142.130,youtube.com,285.0,295.0
64.233.217.2,google.com,182.0,44.0
64.233.217.3,youtube.com,59.0,40.0
209.18.47.61,google.com,212.0,67.0
64.233.207.2,canva.com,46.0,39.0
209.18.47.61,slack.com,145.0,59.0
64.233.207.16,facebook.com,40.0,37.0
64.233.217.2,github.com,52.0,41.0
71.10.216.2,slack.com,180.0,33.0
64.233.207.2,github.com,41.0,40.0
64.233.217.3,canva.com,51.0,41.0
64.233.207.2,google.com,48.0,38.0
212.230.255.129,microsoft.com,108.0,169.0
212.230.255.1,google.com,127.0,221.0
64.233.207.16,slack.com,42.0,40.0
71.10.216.1,slack.com,86.0,46.0
209.18.47.62,youtube.com,41.0,69.0
209.18.47.61,google.com,105.0,61.0
212.230.255.129,canva.com,174.0,106.0
71.10.216.1,slack.com,88.0,48.0
209.18.47.62,facebook.com,79.0,38.0
209.18.47.62,zoom.us,154.0,32.0
84.236.142.130,microsoft.com,269.0,399.0
212.230.255.1,slack.com,180.0,165.0
212.230.255.129,facebook.com,183.0,182.0
212.230.255.129,google.com,181.0,106.0
64.233.217.2,youtube.com,62.0,41.0
71.10.216.1,youtube.com,76.0,49.0
64.233.207.16,zoom.us,42.0,40.0
209.18.47.61,youtube.com,165.0,62.0
71.10.216.2,slack.com,41.0,32.0
71.10.216.2,zoom.us,42.0,32.0
64.233.207.16,facebook.com,40.0,39.0
209.18.47.62,canva.com,49.0,37.0
209.18.47.62,facebook.com,208.0,35.0
71.10.216.2,microsoft.com,63.0,71.0
209.18.47.62,facebook.com,216.0,35.0
71.10.216.2,canva.com,50.0,39.0
71.10.216.1,microsoft.com,58.0,47.0
71.10.216.1,facebook.com,91.0,47.0
64.233.207.16,slack.com,40.0,40.0
71.10.216.1,canva.com,50.0,46.0
64.233.217.2,slack.com,53.0,41.0
64.233.217.2,microsoft.com,54.0,43.0
84.236.142.130,canva.com,436.0,284.0
209.18.47.61,facebook.com,185.0,62.0
71.10.216.1,zoom.us,68.0,46.0
64.233.207.16,facebook.com,51.0,41.0
64.233.217.2,facebook.com,52.0,42.0
64.233.217.3,slack.com,50.0,43.0
64.233.207.16,canva.com,46.0,40.0
71.10.216.2,youtube.com,39.0,33.0
64.233.207.16,microsoft.com,42.0,41.0
212.230.255.1,github.com,158.0,108.0
64.233.217.2,slack.com,72.0,42.0
71.10.216.1,youtube.com,82.0,50.0
64.233.207.2,google.com,49.0,42.0
209.18.47.61,canva.com,67.0,64.0
64.233.217.2,canva.com,57.0,59.0
212.230.255.1,youtube.com,213.0,163.0
64.233.217.2,microsoft.com,49.0,42.0
64.233.217.2,slack.com,51.0,42.0
212.230.255.129,facebook.com,181.0,162.0
212.230.255.129,github.com,161.0,108.0
209.18.47.61,canva.com,66.0,62.0
64.233.207.16,facebook.com,50.0,42.0
84.236.142.130,youtube.com,279.0,387.0
64.233.217.3,microsoft.com,52.0,46.0
71.10.216.1,zoom.us,87.0,49.0
84.236.142.130,slack.com,278.0,538.0
209.18.47.62,slack.com,37.0,35.0
212.230.255.129,zoom.us,124.0,112.0
209.18.47.61,github.com,240.0,60.0
209.18.47.62,facebook.com,83.0,44.0
71.10.216.2,google.com,48.0,41.0
64.233.217.3,facebook.com,59.0,43.0
212.230.255.129,youtube.com,203.0,185.0
64.233.207.16,google.com,51.0,43.0
209.18.47.61,google.com,204.0,62.0
71.10.216.2,microsoft.com,71.0,34.0
64.233.207.2,slack.com,42.0,40.0
212.230.255.129,canva.com,112.0,109.0
64.233.217.2,facebook.com,61.0,47.0
212.230.255.1,youtube.com,168.0,166.0
64.233.217.2,google.com,60.0,42.0
84.236.142.130,canva.com,540.0,323.0
212.230.255.1,zoom.us,184.0,167.0
209.18.47.62,slack.com,38.0,33.0
64.233.207.2,canva.com,42.0,40.0
64.233.217.2,microsoft.com,61.0,44.0
64.233.217.2,github.com,53.0,42.0
71.10.216.1,slack.com,53.0,53.0
64.233.217.3,facebook.com,52.0,41.0
64.233.217.3,canva.com,52.0,40.0
64.233.217.3,youtube.com,62.0,45.0
209.18.47.61,google.com,213.0,61.0
64.233.207.2,youtube.com,52.0,43.0
64.233.217.3,slack.com,50.0,43.0
64.233.217.2,youtube.com,59.0,42.0
64.233.207.2,github.com,41.0,42.0
64.233.207.16,zoom.us,41.0,41.0
209.18.47.62,youtube.com,37.0,34.0
71.10.216.2,slack.com,43.0,34.0
64.233.217.2,microsoft.com,77.0,40.0
64.233.207.16,github.com,41.0,39.0
209.18.47.61,github.com,94.0,63.0
71.10.216.2,slack.com,39.0,33.0
64.233.207.2,github.com,41.0,39.0
71.10.216.2,github.com,51.0,32.0
71.10.216.2,github.com,45.0,40.0
64.233.207.2,zoom.us,43.0,42.0
209.18.47.62,canva.com,43.0,32.0
64.233.207.16,google.com,53.0,41.0
212.230.255.1,github.com,187.0,176.0
212.230.255.1,youtube.com,177.0,170.0
212.230.255.129,slack.com,157.0,162.0
212.230.255.1,google.com,192.0,160.0
212.230.255.129,canva.com,175.0,165.0
64.233.207.2,github.com,42.0,43.0
64.233.217.3,youtube.com,61.0,48.0
209.18.47.61,zoom.us,90.0,73.0
64.233.207.2,youtube.com,59.0,46.0
64.233.207.2,zoom.us,48.0,41.0
212.230.255.1,canva.com,162.0,162.0
71.10.216.1,google.com,77.0,45.0
71.10.216.1,github.com,54.0,50.0
209.18.47.62,slack.com,42.0,33.0
64.233.207.2,zoom.us,44.0,43.0
71.10.216.2,zoom.us,39.0,36.0
71.10.216.2,google.com,46.0,36.0
64.233.207.16,github.com,39.0,41.0
64.233.217.3,github.com,51.0,44.0
64.233.207.16,canva.com,49.0,42.0
64.233.217.3,zoom.us,54.0,45.0
209.18.47.61,google.com,151.0,65.0
64.233.207.2,canva.com,43.0,41.0
64.233.207.2,slack.com,42.0,42.0
209.18.47.62,canva.com,47.0,32.0
71.10.216.1,github.com,54.0,48.0
209.18.47.61,slack.com,89.0,63.0
64.233.207.16,canva.com,45.0,43.0
209.18.47.61,github.com,83.0,65.0
64.233.207.2,slack.com,46.0,43.0
209.18.47.62,github.com,118.0,34.0
212.230.255.1,youtube.com,127.0,107.0
64.233.207.2,google.com,51.0,41.0
64.233.217.2,facebook.com,202.0,42.0
71.10.216.1,youtube.com,80.0,45.0
64.233.217.3,canva.com,76.0,43.0
209.18.47.62,microsoft.com,66.0,32.0
71.10.216.1,microsoft.com,65.0,46.0
212.230.255.1,zoom.us,172.0,106.0
64.233.207.2,google.com,50.0,41.0
64.233.207.2,youtube.com,53.0,44.0
64.233.217.3,youtube.com,62.0,46.0
71.10.216.2,google.com,46.0,35.0
64.233.217.3,canva.com,56.0,44.0
84.236.142.130,facebook.com,218.0,243.0
209.18.47.62,youtube.com,47.0,33.0
71.10.216.2,canva.com,46.0,32.0
212.230.255.1,zoom.us,147.0,160.0
209.18.47.61,microsoft.com,84.0,61.0
209.18.47.61,google.com,105.0,60.0
64.233.207.16,github.com,40.0,39.0
71.10.216.2,zoom.us,116.0,31.0
64.233.207.16,canva.com,87.0,40.0
209.18.47.61,facebook.com,66.0,62.0
71.10.216.1,facebook.com,54.0,45.0
64.233.217.2,zoom.us,48.0,47.0
212.230.255.129,facebook.com,110.0,166.0
212.230.255.1,google.com,133.0,107.0
212.230.255.129,zoom.us,166.0,162.0
209.18.47.62,youtube.com,49.0,45.0
71.10.216.1,canva.com,57.0,49.0
209.18.47.62,slack.com,134.0,32.0
64.233.207.2,youtube.com,50.0,41.0
209.18.47.62,facebook.com,38.0,32.0
212.230.255.1,youtube.com,190.0,160.0
84.236.142.130,youtube.com,300.0,233.0
84.236.142.130,zoom.us,240.0,188.0
64.233.207.16,google.com,50.0,42.0
209.18.47.62,zoom.us,40.0,35.0
71.10.216.1,canva.com,50.0,47.0
64.233.217.3,slack.com,54.0,43.0
71.10.216.2,facebook.com,42.0,61.0
64.233.207.16,youtube.com,52.0,42.0
71.10.216.2,slack.com,216.0,33.0
71.10.216.1,github.com,54.0,45.0
212.230.255.1,zoom.us,106.0,214.0
209.18.47.62,github.com,44.0,34.0
71.10.216.1,zoom.us,56.0,43.0
209.18.47.61,microsoft.com,83.0,71.0
71.10.216.2,slack.com,203.0,33.0
212.230.255.1,zoom.us,185.0,192.0
71.10.216.1,youtube.com,78.0,49.0
64.233.207.2,facebook.com,41.0,42.0
64.233.207.16,google.com,55.0,42.0
209.18.47.62,google.com,36.0,32.0
209.18.47.62,google.com,39.0,34.0
84.236.142.130,facebook.com,323.0,349.0
212.230.255.1,canva.com,156.0,107.0
64.233.207.2,microsoft.com,43.0,43.0
64.233.217.3,microsoft.com,52.0,44.0
64.233.207.16,github.com,43.0,42.0
71.10.216.1,youtube.com,79.0,57.0
212.230.255.1,facebook.com,180.0,159.0
212.230.255.1,facebook.com,181.0,185.0
209.18.47.62,zoom.us,162.0,34.0
64.233.217.2,github.com,64.0,43.0
71.10.216.2,youtube.com,38.0,35.0
209.18.47.62,microsoft.com,65.0,33.0
84.236.142.130,zoom.us,,258.0
64.233.207.2,facebook.com,40.0,47.0
64.233.207.16,slack.com,43.0,44.0
64.233.217.3,zoom.us,51.0,44.0
212.230.255.1,slack.com,129.0,166.0
212.230.255.129,zoom.us,184.0,167.0
64.233.207.16,zoom.us,43.0,39.0
71.10.216.2,microsoft.com,61.0,34.0
71.10.216.1,google.com,69.0,51.0
84.236.142.130,google.com,,323.0
212.230.255.1,google.com,190.0,108.0
64.233.217.3,youtube.com,62.0,46.0
209.18.47.62,microsoft.com,63.0,32.0
209.18.47.61,microsoft.com,88.0,63.0
209.18.47.62,slack.com,43.0,34.0
212.230.255.129,google.com,309.0,191.0
212.230.255.129,canva.com,191.0,106.0
71.10.216.1,google.com,80.0,47.0
209.18.47.61,google.com,119.0,65.0
64.233.217.3,google.com,62.0,42.0
212.230.255.129,facebook.com,146.0,109.0
64.233.207.16,youtube.com,49.0,42.0
212.230.255.129,microsoft.com,150.0,166.0
71.10.216.2,github.com,45.0,36.0
84.236.142.130,facebook.com,388.0,
64.233.217.2,zoom.us,52.0,46.0
212.230.255.1,canva.com,113.0,107.0
71.10.216.1,youtube.com,83.0,47.0
64.233.217.2,youtube.com,60.0,43.0
209.18.47.61,slack.com,89.0,61.0
71.10.216.1,canva.com,51.0,50.0
64.233.217.3,slack.com,53.0,45.0
209.18.47.62,youtube.com,40.0,31.0
64.233.207.16,youtube.com,51.0,40.0
64.233.217.2,github.com,51.0,42.0
212.230.255.129,youtube.com,128.0,116.0
209.18.47.61,canva.com,70.0,63.0
64.233.207.16,facebook.com,41.0,48.0
71.10.216.2,microsoft.com,71.0,34.0
64.233.207.16,slack.com,43.0,44.0
212.230.255.129,canva.com,177.0,146.0
84.236.142.130,github.com,182.0,
64.233.207.2,zoom.us,47.0,40.0
209.18.47.61,slack.com,62.0,64.0
71.10.216.2,slack.com,111.0,33.0
64.233.217.3,microsoft.com,52.0,44.0
64.233.207.16,github.com,40.0,41.0
209.18.47.62,canva.com,44.0,34.0
64.233.217.3,google.com,63.0,44.0
209.18.47.61,facebook.com,66.0,61.0
209.18.47.62,canva.com,45.0,35.0
64.233.207.2,slack.com,42.0,42.0
84.236.142.130,canva.com,213.0,
209.18.47.61,slack.com,195.0,63.0
71.10.216.2,slack.com,166.0,33.0
71.10.216.1,microsoft.com,56.0,48.0
64.233.217.2,zoom.us,56.0,43.0
84.236.142.130,google.com,202.0,306.0
71.10.216.1,zoom.us,57.0,46.0
209.18.47.61,canva.com,72.0,63.0
64.233.207.2,google.com,51.0,42.0
209.18.47.62,slack.com,113.0,40.0
71.10.216.2,zoom.us,109.0,31.0
212.230.255.129,microsoft.com,119.0,218.0
212.230.255.1,zoom.us,166.0,185.0
64.233.207.16,facebook.com,43.0,40.0
209.18.47.61,zoom.us,75.0,64.0
71.10.216.1,canva.com,53.0,57.0
64.233.217.3,microsoft.com,72.0,41.0
212.230.255.1,github.com,190.0,175.0
212.230.255.1,canva.com,186.0,108.0
71.10.216.2,microsoft.com,65.0,34.0
64.233.207.2,microsoft.com,45.0,42.0
64.233.217.3,zoom.us,115.0,46.0
71.10.216.1,facebook.com,80.0,49.0
84.236.142.130,google.com,311.0,201.0
71.10.216.2,google.com,55.0,39.0
209.18.47.62,github.com,48.0,34.0
64.233.207.2,zoom.us,40.0,51.0
212.230.255.129,google.com,133.0,123.0
64.233.207.2,slack.com,44.0,44.0
64.233.207.2,github.com,42.0,41.0
212.230.255.129,slack.com,108.0,108.0
64.233.217.2,google.com,105.0,44.0
209.18.47.61,microsoft.com,80.0,62.0
209.18.47.61,slack.com,90.0,63.0
64.233.207.2,canva.com,45.0,40.0
209.18.47.61,zoom.us,64.0,64.0
212.230.255.1,google.com,177.0,170.0
71.10.216.1,zoom.us,53.0,45.0
64.233.207.16,microsoft.com,43.0,40.0
84.236.142.130,youtube.com,,296.0
64.233.207.2,canva.com,52.0,43.0
212.230.255.129,github.com,131.0,170.0
71.10.216.1,microsoft.com,65.0,47.0
209.18.47.62,github.com,55.0,37.0
64.233.217.2,google.com,175.0,44.0
209.18.47.62,github.com,64.0,38.0
71.10.216.2,canva.com,63.0,35.0
84.236.142.130,facebook.com,,296.0
212.230.255.129,youtube.com,192.0,186.0
212.230.255.1,canva.com,111.0,126.0
209.18.47.61,zoom.us,137.0,61.0
64.233.207.16,zoom.us,41.0,45.0
71.10.216.2,facebook.com,40.0,32.0
71.10.216.1,zoom.us,87.0,44.0
212.230.255.1,slack.com,109.0,127.0
71.10.216.2,youtube.com,45.0,34.0
209.18.47.62,microsoft.com,62.0,33.0
64.233.207.2,github.com,43.0,41.0
64.233.217.3,google.com,67.0,45.0
64.233.217.3,canva.com,57.0,45.0
212.230.255.1,youtube.com,175.0,179.0
209.18.47.62,github.com,46.0,35.0
71.10.216.2,github.com,47.0,35.0
209.18.47.61,microsoft.com,85.0,63.0
84.236.142.130,github.com,,
84.236.142.130,youtube.com,,274.0
64.233.217.3,zoom.us,54.0,44.0
64.233.217.3,github.com,49.0,53.0
71.10.216.2,zoom.us,43.0,34.0
71.10.216.2,zoom.us,135.0,34.0
209.18.47.62,google.com,39.0,32.0
64.233.217.3,facebook.com,53.0,41.0
209.18.47.62,zoom.us,143.0,33.0
71.10.216.1,google.com,76.0,45.0
71.10.216.1,google.com,81.0,47.0
209.18.47.62,google.com,40.0,36.0
64.233.207.2,youtube.com,52.0,40.0
212.230.255.129,youtube.com,163.0,110.0
71.10.216.1,slack.com,56.0,48.0
64.233.207.2,google.com,57.0,42.0
84.236.142.130,youtube.com,,269.0
64.233.207.16,slack.com,44.0,40.0
71.10.216.2,zoom.us,52.0,35.0
212.230.255.129,github.com,109.0,195.0
71.10.216.1,github.com,65.0,57.0
84.236.142.130,github.com,521.0,326.0
64.233.217.2,github.com,51.0,39.0
71.10.216.2,github.com,53.0,37.0
64.233.207.2,google.com,54.0,40.0
64.233.217.2,facebook.com,79.0,42.0
64.233.207.16,slack.com,42.0,41.0
84.236.142.130,canva.com,263.0,195.0
64.233.217.3,microsoft.com,76.0,43.0
64.233.207.16,youtube.com,51.0,45.0
209.18.47.62,zoom.us,110.0,34.0
64.233.207.2,microsoft.com,46.0,42.0
212.230.255.129,google.com,185.0,186.0
64.233.207.16,youtube.com,50.0,54.0
209.18.47.62,slack.com,108.0,32.0
64.233.217.3,github.com,53.0,41.0
84.236.142.130,microsoft.com,157.0,207.0
209.18.47.62,canva.com,45.0,41.0
64.233.207.2,youtube.com,52.0,41.0
64.233.217.2,microsoft.com,66.0,48.0
209.18.47.61,github.com,85.0,65.0
64.233.217.3,canva.com,53.0,43.0
84.236.142.130,google.com,287.0,187.0
71.10.216.2,facebook.com,94.0,34.0
64.233.207.16,zoom.us,40.0,43.0
64.233.207.2,youtube.com,51.0,39.0
71.10.216.2,youtube.com,52.0,31.0
84.236.142.130,facebook.com,286.0,203.0
64.233.207.16,microsoft.com,51.0,40.0
84.236.142.130,zoom.us,212.0,679.0
209.18.47.61,youtube.com,181.0,63.0
209.18.47.62,youtube.com,39.0,32.0
212.230.255.1,canva.com,113.0,213.0
209.18.47.61,youtube.com,185.0,67.0
64.233.207.2,facebook.com,42.0,40.0
212.230.255.1,github.com,247.0,168.0
64.233.207.2,microsoft.com,42.0,41.0
64.233.217.3,zoom.us,52.0,44.0
212.230.255.129,microsoft.com,197.0,171.0
64.233.217.2,slack.com,52.0,49.0
64.233.217.3,youtube.com,60.0,45.0
64.233.217.3,facebook.com,52.0,43.0
64.233.217.3,google.com,58.0,44.0
84.236.142.130,facebook.com,359.0,304.0
71.10.216.2,zoom.us,184.0,34.0
84.236.142.130,facebook.com,639.0,318.0
212.230.255.1,microsoft.com,190.0,182.0
64.233.207.2,facebook.com,45.0,42.0
71.10.216.1,github.com,57.0,46.0
212.230.255.1,canva.com,153.0,171.0
212.230.255.129,youtube.com,170.0,186.0
212.230.255.129,google.com,170.0,110.0
212.230.255.129,zoom.us,147.0,186.0
64.233.207.16,github.com,44.0,40.0
64.233.207.16,youtube.com,53.0,41.0
84.236.142.130,zoom.us,399.0,576.0
212.230.255.129,canva.com,116.0,215.0
64.233.217.3,youtube.com,65.0,44.0
209.18.47.62,microsoft.com,68.0,33.0
71.10.216.1,google.com,78.0,47.0
212.230.255.1,google.com,230.0,111.0
209.18.47.62,canva.com,46.0,33.0
71.10.216.1,canva.com,53.0,57.0
71.10.216.2,microsoft.com,65.0,35.0
64.233.207.2,canva.com,49.0,42.0
64.233.207.16,youtube.com,51.0,41.0
212.230.255.1,facebook.com,124.0,165.0
84.236.142.130,youtube.com,180.0,370.0
209.18.47.62,slack.com,109.0,31.0
71.10.216.2,zoom.us,179.0,33.0
71.10.216.2,slack.com,201.0,34.0
209.18.47.62,facebook.com,35.0,31.0
209.18.47.62,github.com,111.0,33.0
84.236.142.130,microsoft.com,219.0,
209.18.47.61,slack.com,216.0,65.0
64.233.217.3,youtube.com,62.0,42.0
209.18.47.62,google.com,48.0,31.0
209.18.47.62,zoom.us,40.0,34.0
212.230.255.1,facebook.com,132.0,167.0
64.233.217.3,github.com,48.0,44.0
64.233.217.2,youtube.com,64.0,43.0
209.18.47.62,github.com,40.0,29.0
64.233.207.2,slack.com,42.0,43.0
64.233.207.16,microsoft.com,44.0,40.0
212.230.255.1,youtube.com,155.0,167.0
71.10.216.1,github.com,86.0,63.0
212.230.255.1,google.com,125.0,218.0
209.18.47.62,github.com,40.0,34.0
212.230.255.129,microsoft.com,135.0,165.0
64.233.217.2,canva.com,54.0,55.0
212.230.255.129,youtube.com,177.0,183.0
64.233.207.16,facebook.com,45.0,40.0
64.233.207.2,github.com,44.0,43.0
64.233.217.3,youtube.com,62.0,43.0
64.233.217.2,google.com,63.0,39.0
64.233.207.16,canva.com,49.0,42.0
209.18.47.62,youtube.com,49.0,33.0
212.230.255.1,google.com,129.0,168.0
209.18.47.62,microsoft.com,68.0,33.0
212.230.255.1,facebook.com,192.0,107.0
64.233.217.3,microsoft.com,51.0,41.0
64.233.217.3,microsoft.com,51.0,46.0
64.233.217.3,facebook.com,62.0,40.0
212.230.255.129,youtube.com,146.0,161.0
71.10.216.1,google.com,78.0,51.0
64.233.207.2,zoom.us,45.0,41.0
71.10.216.1,microsoft.com,62.0,48.0
212.230.255.1,microsoft.com,158.0,112.0
64.233.207.2,github.com,41.0,43.0
209.18.47.62,microsoft.com,60.0,31.0
64.233.207.16,google.com,51.0,50.0
209.18.47.61,zoom.us,241.0,62.0
64.233.217.3,zoom.us,52.0,43.0
209.18.47.61,microsoft.com,87.0,65.0
64.233.217.2,youtube.com,63.0,42.0
212.230.255.129,slack.com,196.0,109.0
71.10.216.2,canva.com,44.0,34.0
84.236.142.130,microsoft.com,,418.0
64.233.207.16,youtube.com,49.0,38.0
209.18.47.62,google.com,41.0,32.0
84.236.142.130,microsoft.com,283.0,292.0
64.233.217.3,google.com,64.0,44.0
64.233.207.2,facebook.com,42.0,40.0
71.10.216.1,youtube.com,78.0,47.0
